Name,Director,Actor1,Actor2,Release Year,IMDB Rating,Budget,Bclass,Revenue,Action,Adventure,Comedy,Crime,Drama,Fantasy,Horror,Romance,Thriller,Result,FR,FRR,Final
Bewakoofiyaan,145,9,114,2014,5.5,220000000,2,222000000,0,0,1,0,1,0,0,1,0,0,1,0,0
"I, Me aur Main",232,150,478,2013,4.6,220000000,2,31961500,0,0,1,0,1,0,0,0,0,0,1,0,0
Sunday,150,53,273,2008,5.3,220000000,2,319615000,1,0,1,0,0,0,0,0,0,0,2,0,0
Break Ke Baad,91,49,391,2010,5.2,220000000,2,284100000,0,0,1,0,1,0,0,1,0,0,2,0,0
Shuddh Desi Romance,227,34,204,2013,5.7,220000000,2,760000000,0,0,0,0,1,0,0,1,0,0,4,1,1
Aurangzeb,233,138,325,2013,6.5,220000000,2,350000000,1,0,0,0,1,0,0,0,1,1,2,0,2
Lajja,166,170,322,2001,6.7,220000000,2,280000000,0,0,0,1,1,0,0,0,0,1,2,0,2
Dabba,124,56,528,2013,7.8,220000000,2,1008500000,0,0,0,0,1,0,0,1,0,1,4,1,3
Dear Zindagi,172,190,394,2016,7.6,220000000,2,1392900000,0,0,0,0,1,0,0,1,0,1,5,1,3
Hello Zindagi,320,144,421,2010,6.6,220000000,2,1392900000,0,0,0,0,1,0,0,0,0,1,5,1,3
Thoda Pyaar Thoda Magic,57,121,416,2008,4.9,230000000,2,372530000,0,0,1,0,1,0,0,0,0,0,2,0,0
Khoobsurat,109,114,266,2014,6.4,230000000,2,794300000,0,0,1,0,0,0,0,1,0,0,4,1,1
No Smoking,65,150,273,2007,7.2,230000000,2,30000000,0,0,0,0,1,0,0,0,1,1,1,0,2
Black,191,101,416,2005,8.2,230000000,2,409370000,0,0,0,0,1,0,0,0,0,1,2,0,2
Karwaan,255,56,261,2018,7.5,230000000,2,264200000,0,0,1,0,1,0,0,0,0,1,2,0,2
Pink,201,101,514,2016,8.1,230000000,2,700000000,0,0,0,0,1,0,0,0,1,1,3,0,2
Veer-Zaara,318,190,176,2004,7.8,230000000,2,976400000,0,0,0,0,1,0,0,0,0,1,4,1,3
Stree,252,3,40,2018,7.6,230000000,2,1807600000,0,0,1,0,0,0,1,0,0,1,5,1,3
Kaanchi,55,0,398,2014,4.3,240000000,2,53000000,0,0,0,0,1,0,0,1,0,0,1,0,0
Khandaani Shafakhana,77,206,522,2019,4.8,240000000,2,39800000,0,0,1,0,1,0,0,0,0,0,1,0,0
Lagaan: Once Upon a Time in India,203,189,476,2001,8.1,240000000,2,600000000,0,1,0,0,1,0,0,0,0,1,3,0,2
No One Killed Jessica,113,32,416,2011,7.2,240000000,2,1030000000,0,0,0,1,1,0,0,0,0,1,4,1,3
Wake Up Sid,138,154,311,2009,7.6,240000000,2,834000000,0,0,1,0,1,0,0,1,0,1,4,1,3
Sonu Ke Titu Ki Sweety,342,0,81,2018,7.1,240000000,2,1564600000,0,0,1,0,0,0,0,1,0,1,5,1,3
Tum Mile,297,28,508,2009,4.9,250000000,2,224000000,0,0,0,0,1,0,0,1,0,0,1,0,0
Aaja Nachle,44,55,302,2007,6.3,250000000,2,143000000,0,0,0,0,1,0,0,0,0,0,1,0,0
Dulha Mil Gaya,338,208,418,2010,4.2,250000000,2,120000000,0,0,1,0,1,0,0,1,0,0,1,0,0
Arjun Patiala,162,160,504,2019,4.1,250000000,2,92400000,1,0,1,0,0,0,0,0,0,0,1,0,0
Kisna: The Warrior Poet,55,102,365,2005,4.5,250000000,2,92000000,0,0,0,0,1,0,0,0,0,0,1,0,0
Toonpur Ka Superrhero,244,53,10,2010,4.2,250000000,2,51000000,1,1,0,0,0,0,0,0,0,0,1,0,0
Mahabharat,9,101,53,2013,5.4,250000000,2,16900000,1,1,0,0,0,0,0,0,0,0,1,0,0
Yamla Pagla Deewana 2,127,110,307,2013,3.4,250000000,2,483500000,1,0,1,0,1,0,0,0,0,0,2,0,0
U Me Aur Hum,103,53,10,2008,5.9,250000000,2,400000000,0,0,0,0,1,0,0,1,0,0,2,0,0
Creature,83,99,470,2014,3.1,250000000,2,320000000,1,0,0,0,0,0,1,0,0,0,2,0,0
Heropanti,204,63,504,2014,5.3,250000000,2,726000000,1,0,0,0,0,0,0,1,0,0,3,0,0
Genius,209,30,388,2018,4.5,250000000,2,586122899,1,0,0,0,0,0,0,0,1,0,3,0,0
Ajab Prem Ki Ghazab Kahani,166,154,390,2009,6.3,250000000,2,1032100000,1,0,1,0,0,0,0,1,0,0,4,1,1
Raaz 3: The Third Dimension,83,28,470,2012,4,250000000,2,970000000,0,0,0,0,0,0,1,1,1,0,4,1,1
Highway,302,227,394,2014,7.6,250000000,2,477000000,0,0,0,1,1,0,0,1,0,1,2,0,2
Hasee Toh Phasee,178,200,204,2014,6.8,250000000,2,620000000,0,0,1,0,0,0,0,1,0,1,3,0,2
Delhi Belly,220,49,341,2011,7.5,250000000,2,1000000000,1,0,1,1,0,0,0,0,0,1,4,1,3
Uri: The Surgical Strike,5,83,106,2019,8.3,250000000,2,3420600000,1,0,0,0,1,0,0,0,0,1,5,1,3
Rab Ne Bana Di Jodi,257,190,287,2008,7.2,250000000,2,1870000000,0,0,1,0,1,0,0,0,0,1,5,1,3
Bala,252,9,165,2019,7.5,250000000,2,1710000000,0,0,1,0,0,0,0,0,0,1,5,1,3
Piku,59,101,391,2015,7.6,250000000,2,1410000000,0,0,1,0,1,0,0,0,0,1,5,1,3
Saand Ki Aankh,208,165,514,2019,8.2,250000000,2,1143811537,0,0,0,0,1,0,0,0,0,1,5,1,3
Khakee,166,101,112,2004,7.4,250770000,2,490890000,1,0,0,1,1,0,0,0,0,1,2,0,2
Bobby Jasoos,38,46,32,2014,5.5,260000000,2,206100000,0,0,1,0,1,0,0,0,1,0,1,0,0
Ek Thi Daayan,189,28,311,2013,5.7,260000000,2,402500000,0,0,0,0,0,0,1,1,1,0,2,0,0
Patiala House,323,50,203,2011,5.6,260000000,2,353000000,0,0,0,0,1,0,0,0,0,0,2,0,0
Fool N Final,187,110,141,2007,3.4,260000000,2,276200000,1,0,1,1,0,0,0,0,0,0,2,0,0
Tees Maar Khan,241,112,390,2010,2.5,260000000,2,600000000,0,0,1,1,0,0,0,0,0,0,3,0,0
Omkara,123,53,121,2006,8.1,260000000,2,424000000,1,0,0,1,1,0,0,0,0,1,2,0,2
English Vinglish,172,146,355,2012,7.8,260000000,2,914200000,0,0,1,0,1,0,0,0,0,1,4,1,3
Jhoom Barabar Jhoom,170,37,176,2007,3.7,270000000,2,485250000,0,0,0,0,1,0,0,1,0,0,2,0,0
Billu,168,56,271,2009,6.2,270000000,2,474512500,0,0,1,0,1,0,0,0,0,0,2,0,0
Kismat Konnection,347,141,32,2008,5.2,270000000,2,380000000,0,0,1,0,1,0,0,1,0,0,2,0,0
